Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
Microsoft.Authorization,policyExemptions,Microsoft.Authorization/policyExemptions/delete,Delete policy exemption,Delete a policy exemption at the specified scope.,FALSE
Microsoft.Authorization,policySetDefinitions,Microsoft.Authorization/policySetDefinitions/read,Get policy set definition,Get information about a policy set definition.,FALSE
Microsoft.Authorization,policySetDefinitions,Microsoft.Authorization/policySetDefinitions/write,Create policy set definition,Create a custom policy set definition.,FALSE
Microsoft.Authorization,policySetDefinitions,Microsoft.Authorization/policySetDefinitions/delete,Delete policy set definition,Delete a policy set definition.,FALSE
Microsoft.Authorization,providerOperations,Microsoft.Authorization/providerOperations/read,Get operations for resource providers,Get operations for all resource providers which can be used in role definitions.,FALSE
Microsoft.Authorization,roleAssignments,Microsoft.Authorization/roleAssignments/read,Get role assignment,Get information about a role assignment.,FALSE
Microsoft.Authorization,roleAssignments,Microsoft.Authorization/roleAssignments/write,Create role assignment,Create a role assignment at the specified scope.,FALSE
Microsoft.Authorization,roleAssignments,Microsoft.Authorization/roleAssignments/delete,Delete role assignment,Delete a role assignment at the specified scope.,FALSE
Microsoft.Authorization,roleDefinitions,Microsoft.Authorization/roleDefinitions/read,Get role definition,Get information about a role definition.,FALSE
Microsoft.Authorization,roleDefinitions,Microsoft.Authorization/roleDefinitions/write,Create or update custom role definition,Create or update a custom role definition with specified permissions and assignable scopes.,FALSE
Microsoft.Authorization,roleDefinitions,Microsoft.Authorization/roleDefinitions/delete,Delete custom role definition,Delete the specified custom role definition.,FALSE
Microsoft.Automation,,Microsoft.Automation/register/action,Register the subscription to Azure Automation,Registers the subscription to Azure Automation,FALSE
Microsoft.Automation,operations,Microsoft.Automation/operations/read,Reads Available Operations for Azure Automation resources,Gets Available Operations for Azure Automation resources,FALSE
Microsoft.Automation,automationAccounts,Microsoft.Automation/automationAccounts/webhooks/action,Generate a URI for an Azure Automation webhook,Generates a URI for an Azure Automation webhook,FALSE
Microsoft.Automation,automationAccounts,Microsoft.Automation/automationAccounts/read,Read an Azure Automation account,Gets an Azure Automation account,FALSE
Microsoft.Automation,automationAccounts,Microsoft.Automation/automationAccounts/write,Create or Update an Azure Automation account,Creates or updates an Azure Automation account,FALSE
Microsoft.Automation,automationAccounts,Microsoft.Automation/automationAccounts/listKeys/action,Gets the Keys for the automation account,Reads the Keys for the automation account,FALSE
Microsoft.Automation,automationAccounts,Microsoft.Automation/automationAccounts/delete,Delete an Azure Automation account,Deletes an Azure Automation account,FALSE
Microsoft.Automation,automationAccounts/providers/Microsoft.Insights/metricDefinitions,Microsoft.Automation/automationAccounts/providers/Microsoft.Insights/metricDefinitions/read,Read Automation Metric Definitions,Gets Automation Metric Definitions,FALSE
Microsoft.Automation,automationAccounts/diagnosticSettings,Microsoft.Automation/automationAccounts/diagnosticSettings/read,Get Diagnostic setting,Gets the diagnostic setting for the resource,FALSE
Microsoft.Automation,automationAccounts/diagnosticSettings,Microsoft.Automation/automationAccounts/diagnosticSettings/write,Set Diagnostic setting,Sets the diagnostic setting for the resource,FALSE
Microsoft.Automation,automationAccounts/logDefinitions,Microsoft.Automation/automationAccounts/logDefinitions/read,Read automation account log definitions,Gets the available logs for the automation account,FALSE
Microsoft.Automation,automationAccounts/certificates,Microsoft.Automation/automationAccounts/certificates/getCount/action,Gets the count of certificates,Reads the count of certificates,FALSE
Microsoft.Automation,automationAccounts/certificates,Microsoft.Automation/automationAccounts/certificates/read,Read an Azure Automation certificate,Gets an Azure Automation certificate asset,FALSE
Microsoft.Automation,automationAccounts/certificates,Microsoft.Automation/automationAccounts/certificates/write,Create or Update Azure Automation certificate,Creates or updates an Azure Automation certificate asset,FALSE
Microsoft.Automation,automationAccounts/certificates,Microsoft.Automation/automationAccounts/certificates/delete,Delete an Azure Automation certificate,Deletes an Azure Automation certificate asset,FALSE
Microsoft.Automation,automationAccounts/connections,Microsoft.Automation/automationAccounts/connections/read,Read an Azure Automation connection asset,Gets an Azure Automation connection asset,FALSE
Microsoft.Automation,automationAccounts/connections,Microsoft.Automation/automationAccounts/connections/getCount/action,Gets the count of connections,Reads the count of connections,FALSE
Microsoft.Automation,automationAccounts/connections,Microsoft.Automation/automationAccounts/connections/write,Create or Update an Azure Automation connection asset,Creates or updates an Azure Automation connection asset,FALSE
Microsoft.Automation,automationAccounts/connections,Microsoft.Automation/automationAccounts/connections/delete,Delete an Azure Automation connection asset,Deletes an Azure Automation connection asset,FALSE
Microsoft.Automation,automationAccounts/connectionTypes,Microsoft.Automation/automationAccounts/connectionTypes/read,Read an Azure Automation connection asset,Gets an Azure Automation connection type asset,FALSE
Microsoft.Automation,automationAccounts/connectionTypes,Microsoft.Automation/automationAccounts/connectionTypes/write,Create an Azure Automation connection asset,Creates an Azure Automation connection type asset,FALSE
Microsoft.Automation,automationAccounts/connectionTypes,Microsoft.Automation/automationAccounts/connectionTypes/delete,Delete an Azure Automation connection asset,Deletes an Azure Automation connection type asset,FALSE
Microsoft.Automation,automationAccounts/credentials,Microsoft.Automation/automationAccounts/credentials/read,Read an Azure Automation credential asset,Gets an Azure Automation credential asset,FALSE
Microsoft.Automation,automationAccounts/credentials,Microsoft.Automation/automationAccounts/credentials/getCount/action,Gets the counts of credentials,Reads the count of credentials,FALSE
Microsoft.Automation,automationAccounts/credentials,Microsoft.Automation/automationAccounts/credentials/write,Create or Update an Azure Automation credential asset,Creates or updates an Azure Automation credential asset,FALSE
Microsoft.Automation,automationAccounts/credentials,Microsoft.Automation/automationAccounts/credentials/delete,Delete an Azure Automation credential asset,Deletes an Azure Automation credential asset,FALSE
Microsoft.Automation,automationAccounts/configurations,Microsoft.Automation/automationAccounts/configurations/read,Read an Azure Automation DSC's content,Gets an Azure Automation DSC's content,FALSE
Microsoft.Automation,automationAccounts/configurations,Microsoft.Automation/automationAccounts/configurations/getCount/action,Gets the count of an Azure Automation DSC's content,Reads the count of an Azure Automation DSC's content,FALSE
Microsoft.Automation,automationAccounts/configurations,Microsoft.Automation/automationAccounts/configurations/write,Puts an Azure Automation DSC's content,Writes an Azure Automation DSC's content,FALSE
Microsoft.Automation,automationAccounts/configurations,Microsoft.Automation/automationAccounts/configurations/delete,Deletes an Azure Automation DSC's content,Deletes an Azure Automation DSC's content,FALSE
Microsoft.Automation,automationAccounts/configurations/content,Microsoft.Automation/automationAccounts/configurations/content/read,Gets the configuration media content,Reads the configuration media content,FALSE
Microsoft.Automation,automationAccounts/hybridRunbookWorkerGroups,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/read,Read,Reads Hybrid Runbook Worker Resources,FALSE
Microsoft.Automation,automationAccounts/hybridRunbookWorkerGroups,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/delete,Delete,Deletes Hybrid Runbook Worker Resources,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/runbookContent/action,Get runbook content,Gets the content of the Azure Automation runbook at the time of the job execution,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/read,Read an Azure Automation job,Gets an Azure Automation job,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/write,Create an Azure Automation job,Creates an Azure Automation job,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/stop/action,Stop an Azure Automation job,Stops an Azure Automation job,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/suspend/action,Suspend an Azure Automation job,Suspends an Azure Automation job,FALSE
Microsoft.Automation,automationAccounts/jobs,Microsoft.Automation/automationAccounts/jobs/resume/action,Resume an Azure Automation job,Resumes an Azure Automation job,FALSE
Microsoft.Automation,automationAccounts/jobs/output,Microsoft.Automation/automationAccounts/jobs/output/read,Get the output of a job,Gets the output of a job,FALSE
Microsoft.Automation,automationAccounts/jobs/streams,Microsoft.Automation/automationAccounts/jobs/streams/read,Read an Azure Automation job stream,Gets an Azure Automation job stream,FALSE
Microsoft.Automation,automationAccounts/jobs/streams,Microsoft.Automation/automationAccounts/jobs/streams/read,Read an Azure Automation job stream,Gets an Azure Automation job stream,FALSE
Microsoft.Automation,automationAccounts/jobSchedules,Microsoft.Automation/automationAccounts/jobSchedules/read,Read an Azure Automation job schedule,Gets an Azure Automation job schedule,FALSE
Microsoft.Automation,automationAccounts/jobSchedules,Microsoft.Automation/automationAccounts/jobSchedules/write,Create an Azure Automation job schedule,Creates an Azure Automation job schedule,FALSE
Microsoft.Automation,automationAccounts/jobSchedules,Microsoft.Automation/automationAccounts/jobSchedules/delete,Delete an Azure Automation job schedule,Deletes an Azure Automation job schedule,FALSE
Microsoft.Automation,automationAccounts/modules,Microsoft.Automation/automationAccounts/modules/read,Read an Azure Automation Powershell module,Gets an Azure Automation Powershell module,FALSE
Microsoft.Automation,automationAccounts/modules,Microsoft.Automation/automationAccounts/modules/getCount/action,Get the count of Powershell modules within the Automation Account,Gets the count of Powershell modules within the Automation Account,FALSE
Microsoft.Automation,automationAccounts/modules,Microsoft.Automation/automationAccounts/modules/write,Create or Update an Azure Automation Powershell module,Creates or updates an Azure Automation Powershell module,FALSE
Microsoft.Automation,automationAccounts/modules,Microsoft.Automation/automationAccounts/modules/delete,Delete an Azure Automation Powershell module,Deletes an Azure Automation Powershell module,FALSE
Microsoft.Automation,automationAccounts/modules/activities,Microsoft.Automation/automationAccounts/modules/activities/read,Read Azure Automation Activities,Gets Azure Automation Activities,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnections,Microsoft.Automation/automationAccounts/privateEndpointConnections/read,Azure Automation Private Endpoint Connection status,Get Azure Automation Private Endpoint Connection status,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnections,Microsoft.Automation/automationAccounts/privateEndpointConnections/read,Azure Automation Private Endpoint Connection status,Get Azure Automation Private Endpoint Connection status,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnections,Microsoft.Automation/automationAccounts/privateEndpointConnections/write,Approve or reject an Azure Automation Private Endpoint Connection,Approve or reject an Azure Automation Private Endpoint Connection,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnections,Microsoft.Automation/automationAccounts/privateEndpointConnections/delete,Delete an Azure Automation Private Endpoint Connection,Delete an Azure Automation Private Endpoint Connection,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/read,Reads Azure Automation Private Endpoint Connection Proxy,Reads Azure Automation Private Endpoint Connection Proxy,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/write,Creates an Azure Automation Private Endpoint Connection Proxy,Creates an Azure Automation Private Endpoint Connection Proxy,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/validate/action,Validate a Private endpoint connection request,Validate a Private endpoint connection request (groupId Validation),FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/delete,Delete an Azure Automation Private Endpoint Connection Proxy,Delete an Azure Automation Private Endpoint Connection Proxy,FALSE
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies/operationResults,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/operationResults/read,Get Azure Automation private endpoint proxy operation results.,Get Azure Automation private endpoint proxy operation results.,FALSE
Microsoft.Automation,automationAccounts/privateLinkResources,Microsoft.Automation/automationAccounts/privateLinkResources/read,Reads Group Information for private endpoints,Reads Group Information for private endpoints,FALSE
Microsoft.Automation,automationAccounts/privateLinkResources,Microsoft.Automation/automationAccounts/privateLinkResources/read,Reads Group Information for private endpoints,Reads Group Information for private endpoints,FALSE
Microsoft.Automation,automationAccounts/python2Packages,Microsoft.Automation/automationAccounts/python2Packages/read,Read an Azure Automation Python 2 package,Gets an Azure Automation Python 2 package,FALSE
Microsoft.Automation,automationAccounts/python2Packages,Microsoft.Automation/automationAccounts/python2Packages/write,Create or Update an Azure Automation Python 2 package,Creates or updates an Azure Automation Python 2 package,FALSE
Microsoft.Automation,automationAccounts/python2Packages,Microsoft.Automation/automationAccounts/python2Packages/delete,Delete an Azure Automation Python 2 package,Deletes an Azure Automation Python 2 package,FALSE
Microsoft.Automation,automationAccounts/python3Packages,Microsoft.Automation/automationAccounts/python3Packages/read,Read an Azure Automation Python 3 package,Gets an Azure Automation Python 3 package,FALSE
Microsoft.Automation,automationAccounts/python3Packages,Microsoft.Automation/automationAccounts/python3Packages/write,Create or Update an Azure Automation Python 3 package,Creates or updates an Azure Automation Python 3 package,FALSE
Microsoft.Automation,automationAccounts/python3Packages,Microsoft.Automation/automationAccounts/python3Packages/delete,Delete an Azure Automation Python 3 package,Deletes an Azure Automation Python 3 package,FALSE
Microsoft.Automation,automationAccounts/runbooks,Microsoft.Automation/automationAccounts/runbooks/read,Read an Azure Automation Runbook,Gets an Azure Automation runbook,FALSE
Microsoft.Automation,automationAccounts/runbooks,Microsoft.Automation/automationAccounts/runbooks/getCount/action,Get the count of Azure Automation runbooks,Gets the count of Azure Automation runbooks,FALSE
Microsoft.Automation,automationAccounts/runbooks,Microsoft.Automation/automationAccounts/runbooks/write,Create or Update an Azure Automation Runbook,Creates or updates an Azure Automation runbook,FALSE
Microsoft.Automation,automationAccounts/runbooks,Microsoft.Automation/automationAccounts/runbooks/delete,Delete an Azure Automation Runbook,Deletes an Azure Automation runbook,FALSE
Microsoft.Automation,automationAccounts/runbooks,Microsoft.Automation/automationAccounts/runbooks/publish/action,Publish an Azure Automation runbook draft,Publishes an Azure Automation runbook draft,FALSE
Microsoft.Automation,automationAccounts/runbooks/content,Microsoft.Automation/automationAccounts/runbooks/content/read,Read the content of an Azure Automation runbook,Gets the content of an Azure Automation runbook,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft,Microsoft.Automation/automationAccounts/runbooks/draft/read,Read an Azure Automation runbook draft,Gets an Azure Automation runbook draft,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft,Microsoft.Automation/automationAccounts/runbooks/draft/undoEdit/action,Undo Edit to an Azure Automation runbook draft,Undo edits to an Azure Automation runbook draft,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft,Microsoft.Automation/automationAccounts/runbooks/draft/write,Write an Azure Automation runbook draft,Creates an Azure Automation runbook draft,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/content,Microsoft.Automation/automationAccounts/runbooks/draft/content/write,Write the content of an Azure Automation runbook draft,Creates the content of an Azure Automation runbook draft,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/testJob,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/read,Read an Azure Automation runbook draft test job,Gets an Azure Automation runbook draft test job,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/testJob,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/write,Create an Azure Automation runbook draft test job,Creates an Azure Automation runbook draft test job,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/testJob,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/stop/action,Stop an Azure Automation runbook draft test job,Stops an Azure Automation runbook draft test job,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/testJob,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/suspend/action,Suspend an Azure Automation runbook draft test job,Suspends an Azure Automation runbook draft test job,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/testJob,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/resume/action,Resume an Azure Automation runbook draft test job,Resumes an Azure Automation runbook draft test job,FALSE
Microsoft.Automation,automationAccounts/runbooks/draft/operationResults,Microsoft.Automation/automationAccounts/runbooks/draft/operationResults/read,Read Azure Automation runbook draft operation results,Gets Azure Automation runbook draft operation results,FALSE
Microsoft.Automation,automationAccounts/schedules,Microsoft.Automation/automationAccounts/schedules/read,Read an Azure Automation schedule asset,Gets an Azure Automation schedule asset,FALSE
Microsoft.Automation,automationAccounts/schedules,Microsoft.Automation/automationAccounts/schedules/getCount/action,Get the count of Azure Automation schedules,Gets the count of Azure Automation schedules,FALSE
Microsoft.Automation,automationAccounts/schedules,Microsoft.Automation/automationAccounts/schedules/write,Create or Update an Azure Automation schedule asset,Creates or updates an Azure Automation schedule asset,FALSE
Microsoft.Automation,automationAccounts/schedules,Microsoft.Automation/automationAccounts/schedules/delete,Delete an Azure Automation schedule asset,Deletes an Azure Automation schedule asset,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/write,Create an Azure Automation Software Update Configuration,Creates or updates Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/read,Read an Azure Automation Software Update Configuration,Gets an Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/delete,Delete an Azure Automation Software Update Configuration,Deletes an Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/write,Create an Azure Automation Software Update Configuration,Creates or updates Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/read,Read an Azure Automation Software Update Configuration,Gets an Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/delete,Delete an Azure Automation Software Update Configuration,Deletes an Azure Automation Software Update Configuration,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurationMachineRuns,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationMachineRuns/read,Read an Azure Automation Software Update Configuration Machine Run,Gets an Azure Automation Software Update Configuration Machine Run,FALSE
Microsoft.Automation,automationAccounts/softwareUpdateConfigurationRuns,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationRuns/read,Read an Azure Automation Software Update Configuration Run,Gets an Azure Automation Software Update Configuration Run,FALSE
Microsoft.Automation,automationAccounts/statistics,Microsoft.Automation/automationAccounts/statistics/read,Read Azure Automation Statistics,Gets Azure Automation Statistics,FALSE
Microsoft.Automation,automationAccounts/objectDataTypes/fields,Microsoft.Automation/automationAccounts/objectDataTypes/fields/read,Read Azure Automation TypeFields,Gets Azure Automation TypeFields,FALSE
Microsoft.Automation,automationAccounts/usages,Microsoft.Automation/automationAccounts/usages/read,Read Azure Automation Usage,Gets Azure Automation Usage,FALSE
Microsoft.Automation,automationAccounts/variables,Microsoft.Automation/automationAccounts/variables/read,Read an Azure Automation variable asset,Reads an Azure Automation variable asset,FALSE
Microsoft.Automation,automationAccounts/variables,Microsoft.Automation/automationAccounts/variables/write,Create or Update an Azure Automation variable asset,Creates or updates an Azure Automation variable asset,FALSE
Microsoft.Automation,automationAccounts/variables,Microsoft.Automation/automationAccounts/variables/delete,Delete an Azure Automation variable asset,Deletes an Azure Automation variable asset,FALSE
Microsoft.Automation,automationAccounts/webhooks,Microsoft.Automation/automationAccounts/webhooks/read,Read an Azure Automation webhook,Reads an Azure Automation webhook,FALSE
Microsoft.Automation,automationAccounts/webhooks,Microsoft.Automation/automationAccounts/webhooks/write,Create or Update an Azure Automation webhook,Creates or updates an Azure Automation webhook,FALSE
Microsoft.Automation,automationAccounts/webhooks,Microsoft.Automation/automationAccounts/webhooks/delete,Delete an Azure Automation webhook,Deletes an Azure Automation webhook ,FALSE
Microsoft.Automation,automationAccounts/updateDeploymentMachineRuns,Microsoft.Automation/automationAccounts/updateDeploymentMachineRuns/read,Get an Azure Automation update deployment machine ,Get an Azure Automation update deployment machine,FALSE
Microsoft.Automation,automationAccounts/updateManagementPatchJob,Microsoft.Automation/automationAccounts/updateManagementPatchJob/read,Gets an Azure Automation update management patch job,Gets an Azure Automation update management patch job,FALSE
Microsoft.Automation,automationAccounts/watchers,Microsoft.Automation/automationAccounts/watchers/write,Creates an Azure Automation watcher job,Creates an Azure Automation watcher job,FALSE
Microsoft.Automation,automationAccounts/watchers,Microsoft.Automation/automationAccounts/watchers/read,Gets an Azure Automation watcher job,Gets an Azure Automation watcher job,FALSE
Microsoft.Automation,automationAccounts/watchers,Microsoft.Automation/automationAccounts/watchers/delete,Delete an Azure Automation watcher job,Delete an Azure Automation watcher job,FALSE
Microsoft.Automation,automationAccounts/watchers,Microsoft.Automation/automationAccounts/watchers/start/action,Start an Azure Automation watcher job,Start an Azure Automation watcher job,FALSE
Microsoft.Automation,automationAccounts/watchers,Microsoft.Automation/automationAccounts/watchers/stop/action,Stop an Azure Automation watcher job,Stop an Azure Automation watcher job,FALSE
Microsoft.Automation,automationAccounts/watchers/watcherActions,Microsoft.Automation/automationAccounts/watchers/watcherActions/write,Create an Azure Automation watcher job actions,Create an Azure Automation watcher job actions,FALSE
Microsoft.Automation,automationAccounts/watchers/watcherActions,Microsoft.Automation/automationAccounts/watchers/watcherActions/read,Gets an Azure Automation watcher job actions,Gets an Azure Automation watcher job actions,FALSE
Microsoft.Automation,automationAccounts/watchers/watcherActions,Microsoft.Automation/automationAccounts/watchers/watcherActions/delete,Delete an Azure Automation watcher job actions,Delete an Azure Automation watcher job actions,FALSE
Microsoft.Automation,automationAccounts/watchers/streams,Microsoft.Automation/automationAccounts/watchers/streams/read,Read an Azure Automation watcher stream,Gets an Azure Automation watcher job stream,FALSE
Microsoft.Automation,automationAccounts/agentRegistrationInformation,Microsoft.Automation/automationAccounts/agentRegistrationInformation/read,Gets an Azure Automation DSC's registration information,Read an Azure Automation DSC's registration information,FALSE
Microsoft.Automation,automationAccounts/agentRegistrationInformation,Microsoft.Automation/automationAccounts/agentRegistrationInformation/regenerateKey/action,Puts a request to regenerate Azure Automation DSC keys,Writes a request to regenerate Azure Automation DSC keys,FALSE
Microsoft.Automation,automationAccounts/compilationjobs,Microsoft.Automation/automationAccounts/compilationjobs/write,Puts an Azure Automation DSC's Compilation,Writes an Azure Automation DSC's Compilation,FALSE
Microsoft.Automation,automationAccounts/compilationjobs,Microsoft.Automation/automationAccounts/compilationjobs/read,Gets an Azure Automation DSC's Compilation,Reads an Azure Automation DSC's Compilation,FALSE
Microsoft.Automation,automationAccounts/compilationjobs,Microsoft.Automation/automationAccounts/compilationjobs/write,Puts an Azure Automation DSC's Compilation,Writes an Azure Automation DSC's Compilation,FALSE
Microsoft.Automation,automationAccounts/compilationjobs,Microsoft.Automation/automationAccounts/compilationjobs/read,Gets an Azure Automation DSC's Compilation,Reads an Azure Automation DSC's Compilation,FALSE
Microsoft.Automation,automationAccounts/nodeConfigurations,Microsoft.Automation/automationAccounts/nodeConfigurations/rawContent/action,Gets an Azure Automation DSC's node configuration content,Reads an Azure Automation DSC's node configuration content,FALSE
Microsoft.Automation,automationAccounts/nodeConfigurations,Microsoft.Automation/automationAccounts/nodeConfigurations/read,Gets an Azure Automation DSC's node configuration,Reads an Azure Automation DSC's node configuration,FALSE
Microsoft.Automation,automationAccounts/nodeConfigurations,Microsoft.Automation/automationAccounts/nodeConfigurations/write,Puts an Azure Automation DSC's node configuration,Writes an Azure Automation DSC's node configuration,FALSE
Microsoft.Automation,automationAccounts/nodeConfigurations,Microsoft.Automation/automationAccounts/nodeConfigurations/delete,Deletes an Azure Automation DSC's node configuration,Deletes an Azure Automation DSC's node configuration,FALSE
Microsoft.Automation,automationAccounts/nodes,Microsoft.Automation/automationAccounts/nodes/read,Gets Azure Automation DSC nodes,Reads Azure Automation DSC nodes,FALSE
Microsoft.Automation,automationAccounts/nodes,Microsoft.Automation/automationAccounts/nodes/write,Create or update Azure Automation DSC nodes,Creates or updates Azure Automation DSC nodes,FALSE
Microsoft.Automation,automationAccounts/nodes,Microsoft.Automation/automationAccounts/nodes/delete,Deletes Azure Automation DSC nodes,Deletes Azure Automation DSC nodes,FALSE
Microsoft.Automation,automationAccounts/nodes/reports,Microsoft.Automation/automationAccounts/nodes/reports/read,Gets Azure Automation DSC reports,Reads Azure Automation DSC reports,FALSE
Microsoft.Automation,automationAccounts/nodes/reports/content,Microsoft.Automation/automationAccounts/nodes/reports/content/read,Gets Azure Automation DSC report contents,Reads Azure Automation DSC report contents,FALSE
Microsoft.Automation,automationAccounts/nodecounts,Microsoft.Automation/automationAccounts/nodecounts/read,Gets node count summary for the specified type,Reads node count summary for the specified type,FALSE
Microsoft.Automation,automationAccounts/linkedWorkspace,Microsoft.Automation/automationAccounts/linkedWorkspace/read,Read the workspace linked to the automation account,Gets the workspace linked to the automation account,FALSE
Microsoft.AzureActiveDirectory,,Microsoft.AzureActiveDirectory/register/action,Register Microsoft.AzureActiveDirectory resource provider,Register subscription for Microsoft.AzureActiveDirectory resource provider,FALSE
Microsoft.AzureActiveDirectory,b2cDirectories,Microsoft.AzureActiveDirectory/b2cDirectories/write,Create or update B2C Dictory resource,Create or update B2C Dictory resource,FALSE
Microsoft.AzureActiveDirectory,b2cDirectories,Microsoft.AzureActiveDirectory/b2cDirectories/read,View B2C Directory resource,View B2C Directory resource,FALSE
Microsoft.AzureActiveDirectory,b2cDirectories,Microsoft.AzureActiveDirectory/b2cDirectories/delete,Delete B2C Directory resource,Delete B2C Directory resource,FALSE
Microsoft.AzureActiveDirectory,operations,Microsoft.AzureActiveDirectory/operations/read,Read all API operations,Read all API operations available for Microsoft.AzureActiveDirectory resource provider,FALSE
Microsoft.AzureActiveDirectory,b2ctenants,Microsoft.AzureActiveDirectory/b2ctenants/read,List all B2C tenants of the user,Lists all B2C tenants where the user is a member,FALSE
Microsoft.AzureActiveDirectory,guestUsages,Microsoft.AzureActiveDirectory/guestUsages/write,Create or update Guest Usages resource,Create or update Guest Usages resource,FALSE
Microsoft.AzureActiveDirectory,guestUsages,Microsoft.AzureActiveDirectory/guestUsages/read,View Guest Usages resource,View Guest Usages resource,FALSE
Microsoft.AzureActiveDirectory,guestUsages,Microsoft.AzureActiveDirectory/guestUsages/delete,Delete Guest Usages resource,Delete Guest Usages resource,FALSE
Microsoft.AzureStack,,Microsoft.AzureStack/register/action,Subscription Registration Action,Subscription Registration Action,FALSE
Microsoft.AzureStack,,Microsoft.AzureStack/register/action,Register Subscription for Azure Stack,Registers Subscription with Microsoft.AzureStack resource provider,FALSE
Microsoft.AzureStack,cloudManifestFiles,Microsoft.AzureStack/cloudManifestFiles/read,Get Cloud Manifest File,Gets the Cloud Manifest File,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/read,Get Azure Stack Edge Subscription,Get the properties of an Azure Stack Edge Subscription,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/write,Create Edge Subscription,Create or updates an edge subscription,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/delete,Delete Edge Subscription,Delete an Edge Subscription,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/edgeResourceGroups/action,Read/Write Under Projected Edge Resource Group,Reads or Writes to a projected edge resource under the edge resource group,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/edgeProviders/action,Read/Write Under Projected Edge Provider,Reads or Writes to a projected edge resource under the given edge resource provider namespace,FALSE
Microsoft.AzureStack,edgeSubscriptions,Microsoft.AzureStack/edgeSubscriptions/operations/action,Get Azure-AsyncOperation Status,Get or list statuses of async operations on projected edge resources,FALSE
